,year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
0,2017,6,14,14.0,50.1,1.0,1,4,0.0,0,8.0,2.0,,0,PMO,,0,40.0,3,7.2,,97,2,0,1015.4,7,0.9,0.0,20.8,0,17.2,,14.7,0.0,15.2,0,0.0,0,,9,0,0,,3,0.5,2,2,0.5,,142,1,992,114,5,1,2.0,,,,,,,2,131111,11111111111111,,,,NN81W4,3,0,1,0,1,2017-06-14 14:00:00+00:00
1,2017,6,21,5.0,51.2,2.8,1,4,0.0,0,0.0,0.0,,0,PMO,,0,90.0,3,4.1,,97,2,0,1017.8,3,0.3,0.0,20.0,0,17.6,,16.0,0.0,19.4,2,1.0,0,,7,2,5,,2,0.0,7,3,0.5,,142,12,992,114,5,1,2.0,,,,,,,2,511111,11111111111111,,,,NO30U7,3,0,1,0,1,2017-06-21 05:00:00+00:00
2,2017,1,13,7.0,19.2,-87.1,1,4,0.0,0,1.0,4.0,,1,3EUS,,0,90.0,4,12.9,,98,1,1,1016.0,4,0.0,0.0,26.0,0,20.0,,16.3,,27.5,4,3.0,2,,6,6,4,,10,2.0,8,10,2.0,,277,97,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,N3U3ON,3,0,1,0,1,2017-01-13 07:00:00+00:00
3,2017,1,31,9.0,20.2,-71.6,1,4,0.0,0,2.0,4.0,,1,3EUS,,0,60.0,4,12.9,,98,2,0,1015.0,4,0.0,0.0,25.0,0,21.0,,18.8,,26.5,6,2.0,A,,A,4,5,,15,1.5,3,15,1.5,,242,1,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,N65EJE,3,0,1,0,1,2017-01-31 09:00:00+00:00
4,2017,1,20,21.0,19.8,-70.7,1,4,0.0,0,0.0,0.0,,1,3EUS,,0,60.0,4,4.1,,98,2,0,1010.0,4,0.0,0.0,25.0,0,19.0,,15.1,,26.5,2,2.0,1,,6,4,2,,10,0.5,2,10,0.5,,278,90,992,114,5,1,2.0,,,,,,,2,111112,11111111111111,,,,N4T1UU,3,0,1,0,1,2017-01-20 21:00:00+00:00
5,2017,7,18,21.0,11.6,-91.3,1,4,0.0,0,3.0,3.0,,1,7JCO,,0,100.0,4,9.3,,98,2,2,1008.9,7,2.0,0.0,31.0,0,26.5,,24.6,1.0,29.2,7,6.0,7,,2,7,8,,3,2.0,10,3,2.0,,276,11,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NRN6ME,3,0,1,0,1,2017-07-18 21:00:00+00:00
6,2017,3,15,12.0,26.9,-74.8,1,4,0.0,0,1.0,4.0,,1,7JDE,,0,280.0,4,7.7,,98,2,2,1014.5,2,0.3,0.0,21.0,0,17.0,,14.2,1.0,23.0,3,2.0,1,,5,4,A,,2,1.0,32,5,2.0,,242,64,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NBKR1A,3,0,1,0,1,2017-03-15 12:00:00+00:00
7,2017,4,3,12.0,36.6,13.5,1,4,0.0,0,2.0,4.0,,1,7JDN,,0,270.0,3,11.3,,98,2,2,1023.4,1,0.1,0.0,16.0,0,15.0,,14.3,3.0,16.0,7,4.0,4,,5,4,4,,6,2.5,27,7,2.5,,215,63,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NDYWMK,3,0,1,0,1,2017-04-03 12:00:00+00:00
8,2017,3,19,12.0,49.8,-1.5,1,4,0.0,0,1.0,3.0,,1,7JDN,,0,250.0,3,10.3,,98,2,2,1023.4,5,0.6,0.0,12.0,0,11.0,,10.1,3.0,10.0,8,5.0,6,,2,2,6,,5,2.5,25,6,2.5,,177,91,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NC2WXI,3,0,1,0,1,2017-03-19 12:00:00+00:00
9,2017,6,13,10.0,36.1,15.5,1,4,0.0,0,2.0,4.0,,1,7JDN,,0,220.0,4,2.1,,98,2,0,1026.6,0,0.2,0.0,25.0,0,24.0,,23.5,3.0,23.0,5,2.0,1,,2,4,5,,2,0.5,32,3,0.5,,215,65,992,114,5,1,2.0,,,,,,,2,111131,11111111111111,,,,NN2MEH,3,0,1,0,1,2017-06-13 10:00:00+00:00
